company_id,name,parent
C100517359149,Leseetan Midlands Group Limited,R764915829891
C101307938502,Cheales lesitech Plc,S100240634395
C104936104,Resonestr Associated UK Plc,C622523283889
C106019213972,Resunich tanalli & Co Ltd,R185419277893
C107354328063,Grallis Midlands UK Plc,S195140718974
C10751615314,TANONE NEW LAND LIMITED,C887756950351
C108424356331,Chunich New International Ltd,R233705955466
C110573369242,Grea & Co Limited,
C11132539919,grallis liverpool properties plc,R725613547679
C112642894464,TANALLIGRILE GROUP,R280870102298
C113377379287,Taniletanalli see UK Plc,S313405170593
C113883303122,Gluni Old Ltd,CR246376658590
C11453236465,Tanuni London UK,CR660703846201
C114727936414,Salliglee New & Co Ltd,CR644000980188
C114788892828,Soragr International Limited,R24795883507
C115258434889,see midlands limited,CR967761584959
C116189111988,Tanee Coventry Land Ltd,R8357415165
C11654925549,grallis coventry & co limited,S195140718974
C117237750891,Tanone Liverpool Properties,R897668827597
C119250686550,resee associated uk plc,C247836737229
C119367687173,Chitegl Midlands International Plc,CR795762947410
C12149984059,Grea Liverpool Plc,C365358204766
C122342333820,SONERESITE MIDLANDS GROUP,R692902556257
C122743610118,RESUNICH BREEGR & CO LTD,R185419277893
C122768898029,SEA NEW INTERNATIONAL LTD,R716243391063
C122847920540,taneabr plc,R725613547679
C123971332756,Chilegr Old International Plc,C24232289673
C12412435537,SUNICH SANETAN PROPERTIES LTD,CR774204321512
C124976121037,tanite midlands group,CR913367978546
C126572648425,Suniresuni Coventry Properties Plc,R347154423574
C126690142611,grora coventry & co limited,C329744109865
C127565968843,Resonestr Midlands UK,S917665873990
C130360358336,Tanalligl cheabrone,C935746861693
C131474445239,gralli land,R802635784256
C13150743035,Tanoraglite B Group Limited,C374285503648
C13275015916,Suniresuni Associated & Co Ltd,C366835766942
C1330261513,Gritebr Old Plc,R713689431914
C13372708040,resuni uk limited,S949186899925
C134229728877,TANILE,CR141561467233
C134370573936,SEA WALES LAND,C189980614278
C135020548211,glileles group limited,R853741783320
C137014772192,RESANEBRONE B LAND LIMITED,S487157171483
C1374794529,Tanuni brallich & Co Limited,R447116741771
C138532262481,LESANESTRALLI II LAND PLC,C246613496627
C140098418492,Resitechea New & Co Ltd,S961455479449
C1402542307,CHALLICH GROUP LIMITED,C887756950351
C141533775204,TANEE LONDON GROUP LIMITED,S178331315212
C141693713477,Grallitanea London International,R954396333133
C14380906520,glonetanile uk plc,R271332101248
C143914854091,CHITES ASSOCIATED PLC,CR972518335476
C143976757599,Gree Old & Co Limited,CR186026359004
C144152821667,Sea struni Plc,CR388594154040
C146483763770,Lesilegl britegrane Limited,CR119027379060
C147783738012,SALLIGLEA WALES INTERNATIONAL LIMITED,R771728523727
C148980301352,CHEAS GROUP,CR186026359004
C15202117065,Chone UK,R949791269966
C155678654036,taniletan b & co ltd,C561835659951
C156643378033,Reseegr Land Limited,R93371328038
C157267297380,chora lesuniglee international,CR435022104004
C157730593155,Resalli strallires Properties Plc,R588654702153
C1596581582,Brunilesone resallitan Plc,S794481448797
C160237167364,Tanuni Associated Land Ltd,CR334147381489
C160976321381,TANONE WALES LTD,R897668827597
C162835553852,Gliteles Coventry International Ltd,S721297937833
C162839285014,Lesanestralli reseeres Properties Limited,S34310147770
C165002938457,Lesanes International,C35628323290
C165214116362,Britestr International Ltd,S332940840982
C165486824276,Greebrile New Limited,S261296465581
C16697450315,SALLIGLEE OLD LIMITED,R144770447190
C16914376814,Resanebrone Associated & Co Plc,R703033523648
C169192781986,STRILELESILE II,R271332101248
C170789347102,GRALLISEE UK,CR893460905491
C172134738527,Gree Wales Properties Ltd,C665572908905
C17278382104,Breeglone II International,C336308768838
C172876172874,sea liverpool & co,S317239731666
C17318841021,Gree B,C956946519859
C174145681915,Glaneres B & Co Plc,S57279960295
C174755412488,Gluni Associated Group Plc,S318858974713
C17522777259,Salliglee leseastruni & Co,S50157765052
C176101280601,breeglone b land plc,S692626961048
C177747890222,Gree London International Ltd,CR186026359004
C178557430082,Suniresuni London Group,R860395717497
C180084870801,Gluniglite Wales Land Ltd,R730450999911
C18128559778,Cheegl Coventry Limited,CR990765839771
C181921749260,Bralli Old,S484032499382
C183228848485,GLALLICH SUNIGL PROPERTIES,CR37095238800
C185025159251,tanunibr international limited,S62808276123
C185254232487,GLUNI NEW LAND,CR15288597844
C185468650880,resee land,C665572908905
C185878619189,Glallich London Group Plc,CR37095238800
C188673466342,sea london uk ltd,C475440181821
C189980614278,Sea Wales Land Limited,C475440181821
C190002878587,Suniresuni B Land Limited,C27815713567
C190812679212,LESANE GROUP,R825407386183
C190826656609,Tanee London Plc,S178331315212
C191945800437,soras liverpool uk limited,S125570395564
C19219103589,Brallilesile Limited,C785448431283
C192816110642,Gree International Plc,R904296176253
C19490170536,RESALLI B GROUP,R904296176253
C196976763271,grea associated limited,C12149984059
C198751675116,Resite Associated International Limited,S223039727902
C200035877130,Lesanestralli Coventry Ltd,S61480853478
C200232798119,SANELESUNI OLD & CO LIMITED,S573529880909
C200387821343,glallis group ltd,
C200491132515,Brite Liverpool International Ltd,C674404970159
C201125279063,Bralli II Land Limited,R351224471801
C20193869860,Sea Coventry Group Ltd,R971540704410
C202379136195,Sanetanile II Land Limited,R444971197985
C203352696325,lesane plc,S420040260131
C2045957881,tanunich london limited,CR809211692936
C205453654956,salliglee ii uk,C16697450315
C205544922474,Gluni reseastrane Limited,CR600475967851
C205737778573,Resone London & Co,C934776323096
C205803950555,Glorastrea Group,C517470352138
C20695518246,Greastrile Midlands Land,R43027603035
C208674463645,Greastrile London & Co Ltd,R914513158356
C210040486942,Suniresuni gronegrora Land Ltd,CR141561467233
C21176287742,GLANERES COVENTRY INTERNATIONAL LTD,S57279960295
C214658426373,Gluni Associated Plc,S393536486797
C21483362663,STRANERES LONDON LAND LTD,R39690855373
C21664815735,gritebr b plc,S892680381245
C217317404631,SEA LIVERPOOL INTERNATIONAL PLC,R12996266868
C217463472159,Lesalli Coventry Ltd,R711042343453
C219662665970,GREE NEW PLC,S332940840982
C2201019864,Resalli Associated Group,R904296176253
C220286874921,Gree Associated,CR956157215410
C221370363528,Taneares,CR80593796701
C221878844816,Sonelesile Associated,S946965306891
C222038807347,resite international ltd,S271491157805
C224431623126,Chiteles B Limited,R910982612024
C225215230065,Lesalli Midlands Limited,R711042343453
C22527040613,Gritebr London & Co Limited,R853741783320
C2254827240,Resea lesitegr UK Limited,R765465881584
C225920563561,RESONE GLUNI LTD,C948316381426
C226244944345,Tanite Liverpool Group Plc,CR913367978546
C227670946556,Resonebr Coventry & Co,CR987157853704
C227928668385,Brile Wales & Co Limited,R881353583537
C229121612307,Sanelesuni B Land Limited,S573529880909
C230553607473,Resalli resoneles International Ltd,CR880041495858
C232267790660,GRITEBR B LAND LTD,S892680381245
C232305378581,Glea Midlands UK,C323961548740
C23338625622,gree coventry & co plc,CR933706922865
C23373353290,breabrora b plc,CR91284447390
C233905496253,Greastrile II,S193423877928
C238362540039,CHITE SITEBREA,S15679807508
C239065223774,Graneresea International Plc,R308416853768
C23912194963,Leseatanile leseabr Limited,C886984189006
C239191462609,Soneresite Wales & Co Limited,R692902556257
C239469373643,Gritebr Wales Group Ltd,R713689431914
C241347163192,Grea Group Plc,CR431713809270
C241457842876,Granes Limited,R93371328038
C24232289673,CHILEGR ASSOCIATED GROUP PLC,CR192638403891
C242929313467,Gree Liverpool Land,R386143586539
C24310569308,Lesanestralli glora Properties,S34310147770
C244161390660,Britesuni Land Plc,CR85759288892
C245681562427,Bralli New Plc,R351224471801
C24625111011,RESONESTR NEW INTERNATIONAL LTD,S687156583141
C246613496627,lesanestralli wales plc,CR989054790737
C246939667260,Soneresite II Land Ltd,R3031544622
C247048909556,tanea resora international,R986132660870
C247836737229,Resee Group Plc,C22527040613
C249699802577,Chilegr Coventry & Co Plc,CR192638403891
C252965676334,SALLIGLEE NEW PROPERTIES LIMITED,S312285711526
C253505806431,Challich Plc,R725158469599
C256358433503,BRALLI OLD LAND PLC,C181921749260
C25868452830,Taneabr Midlands Properties Limited,C918306506787
C260208511058,Suniresuni Midlands Properties Limited,R94087614334
C260483934511,RESONES LONDON GROUP PLC,S344370192613
C262264483037,grallis old properties plc,R642598553871
C262422239224,CHEALES ASSOCIATED LAND,S100240634395
C26342456235,Resone Midlands Land Plc,C934776323096
C264124247726,Resones Associated Plc,R542294303165
C265313624144,Grite B,C332521205056
C265452836029,Resalli Wales Ltd,R904296176253
C266642317057,Gree Associated Land Plc,S24423690782
C267787570000,gralli land limited,R386143586539
C268468530,Suniresuni II Ltd,R725158469599
C269134983269,glanebrite land plc,CR388594154040
C26973178409,grilebralli group plc,
C270045691435,sallitanuni associated land ltd,R380605900114
C270731530744,Sane London Land Plc,CR969933347040
C27346956710,BRITE NEW & CO LTD,C674404970159
C275167256486,Tanunigl New & Co,R737749377192
C277780323437,lesees ii land limited,R415153419356
C27815713567,Suniresuni New Group Limited,C366835766942
C278966607127,Resanetanea Ltd,C943904796990
C280896198612,glallich london ltd,C966270127894
C28121399935,Gree Coventry Plc,S23907549916
C282412844638,STREAGL GRALLIGR & CO LTD,CR96721391383
C285774687411,BREABRORA ASSOCIATED,CR85759288892
C28649971139,STREAGR STREA,C505964779166
C287599755705,Tanonestralli Plc,R713689431914
