land_id,company_id
T100018863440,R590980645905
T100030485625,C498567266942
T100073722185,R297805899175
T100075985035,R652026353427
T100088440658,S223039727902
T100113563438,S234650831198
T10017841574,R912580200546
T100196224147,S675993292454
T100228144598,R16412228157
T100243630981,C850618627983
T100298165715,C921786706840
T100300704351,CR76949958995
T100374228006,CR974353914474
T100381174034,CR63726159656
T100382834870,R47707058158
T10044189500,S178433510159
T10047125759,CR179474412506
T100480374180,R814256406213
T10048522752,C36574055434
T10049191727,R652026353427
T100505783940,R177105721207
T10053173459,C40648968635
T100547969977,S637917689179
T100548433729,C538548926956
T100570819294,R814256406213
T10061575,S520447518974
T100625320192,S375549183226
T10067592257,CR87150949837
T100733329813,R666470705229
T100738426087,R733556529584
T100748191944,R119341965993
T100761942673,R209582834537
T100828638001,CR206004380361
T100863371393,C696792776381
T10088301359,CR65640478814
T100894236430,C295212267364
T10090115739,CR774204321512
T100943682246,S994888439568
T10096830131,R429073529027
T100974138031,S675993292454
T100977167613,S841034185441
T101092729833,C20695518246
T101098444805,S365579778508
T101179672511,C618341461549
T101198568871,S178433510159
T101204737242,CR8690183203
T10120677848,R666470705229
T101237543038,CR715200155361
T101243519713,R48156846185
T101254490787,C498567266942
T101266465275,CR853956581654
T101268305834,CR43246051644
T10127589001,CR874756817358
T101330822539,R54481457783
T1013663422,S110110593359
T101376176647,R209582834537
T101409547498,R42586685544
T101414270099,R964953809460
T101417360436,C357023274761
T101439485787,C110573369242
T1014557108,CR268709865971
T10150452497,C20695518246
T1015504102,CR757199606799
T101551268798,C696792776381
T101560484250,CR102968664636
T101567880532,CR706261205313
T101571783609,S608539204331
T101581610698,CR432610693265
T101639176252,S234650831198
T10165690198,C902242338621
T101669399857,S908788533980
T101714412574,S110110593359
T101720343571,S350267378795
T101797733920,R291609990421
T101849155193,C850618627983
T10187931085,R337885620018
T101916639967,R337885620018
T101921187917,R7747895548
T101926583465,CR102968664636
T101945519391,R666470705229
T101983413120,CR290569187576
T101998626647,S183881695792
T102014837122,S3204071518
T10201682101,R590980645905
T102031981781,C110573369242
T10204346407,R990724975152
T102050190677,R245333689855
T102052133256,R245333689855
T102055402833,S178331315212
T102091895367,C465489125192
T102238414305,S350267378795
T102241935117,CR165282495937
T102242904668,R811611199001
T102272921140,R48156846185
T102291238797,CR102968664636
T102302547339,R308416853768
T102328316727,CR87150949837
T1023901784,S234650831198
T102429756197,R48156846185
T102430314127,R602666366674
T102433245920,R733556529584
T102445383039,S520447518974
T102472249567,R291609990421
T102483353738,R269418758472
T10250721391,R54481457783
T102520218202,S345249605590
T102533236272,R291609990421
T1025802417,S550005392985
T102599772851,R652026353427
T102648578997,C260483934511
T102658879168,R151919292782
T102680397245,CR310905580460
T102684911573,R814256406213
T102751719047,S504842321794
T102776487373,C349573165350
T102798890771,R668887724510
T10281146771,CR915977980863
T102813645937,R996992171891
T102827564404,S908788533980
T10284113051,S234650831198
T102915557283,R591819899055
T102948723257,R585005168566
T102987708202,S931449110695
T103029497005,S232788239882
T10303795522,CR87150949837
T103039509602,S808744345450
T103091716424,CR757199606799
T103110792617,R291609990421
T103131240332,CR136479728025
T103196974312,S232788239882
T103205238169,R84565275715
T103240548999,R48042242991
T103263422292,R177105721207
T103275320200,CR848368971683
T103280390208,C219662665970
T10328254503,S223039727902
T103301558471,C295212267364
T10330348235,CR531858874330
T103307378129,C113883303122
T103351590072,R337885620018
T103380766549,R429073529027
T10339937481,C148980301352
T103520892489,R83268455149
T103583742909,S47399595820
T10361310840,CR206004380361
T103689886623,R964953809460
T103700575904,C70100506313
T103703117244,CR290569187576
T10375888400,R585005168566
T103767266675,C857143432536
T10376922435,R733556529584
T103782260005,CR811166384274
T103797744792,S232709415599
T103810999168,R14146819289
T103876252808,S350267378795
T103948115988,C850618627983
T103986377615,C275167256486
T104078689881,R717615300617
T104091443214,C696792776381
T104132695241,C490361356313
T10414640217,R653709434810
T104150215467,S675993292454
T104152848995,C935746861693
T104163754900,CR848368971683
T104203395905,S827758731804
T104266601386,C55651347661
T104268916727,R335184364557
T104283194079,R814256406213
T104305183862,R429073529027
T104319741429,R2995844411
T104329355423,S908788533980
